date,latency
1644207117,46
1644207128,49
1644207149,44
1644207159,56
1644207169,51
1644207180,49
1644207190,54
1644207200,53
1644207211,52
1644207221,57
1644207872,40
1644207883,40
1644207893,43
1644207903,58
1644207914,56
1644207924,55
1644207934,58
1644207945,51
1644207955,53
1644207965,36
1644207976,59
1644207986,52
1644207996,44
1644208007,65
1644208017,53
1644208027,37
1644208038,59
1644208048,50
1644208058,56
1644208069,51
1644208079,49
1644208089,39
1644208099,49
1644208110,51
1644208120,42
1644208130,61
1644208141,39
1644208151,43
1644208161,49
1644208172,36
1644208182,57
1644208192,50
1644208203,53
1644208213,55
1644208223,58
1644208234,42
1644208244,45
1644208254,53
1644208264,42
1644208275,44
1644208285,35
1644208295,52
1644208306,44
1644208316,55
1644208326,50
1644208337,54
1644208347,35
1644208357,53
1644208367,51
1644208593,55
1644208604,60
1644208614,52
1644208624,62
1644208635,45
1644208645,44
1644208655,63
1644208666,51
1644208676,46
1644208686,58
1644208697,45
1644208707,46
1644208717,47
1644208728,40
1644208738,59
1644208748,47
1644208758,52
1644208769,47
1644208779,49
1644208789,41
1644208800,45
1644208810,42
1644208820,58
1644208831,58
1644208841,47
1644208851,46
1644208862,50
1644208872,52
1644208882,43
1644208893,49
1644208903,55
1644208913,56
1644208924,33
1644208934,65
1644208944,43
1644208955,64
1644208965,62
1644208975,56
1644208986,53
1644208996,47
1644209006,46
1644209017,43
1644209027,40
1644209037,48
1644209037,50
1644209047,53
1644209058,47
1644209063,45
1644209068,44
1644209089,49
1644209099,41
1644209110,51
1644209120,55
1644209130,36
1644209140,64
1644209151,60
1644209161,56
1644209181,47
1644209192,45
1644209202,46
1644209212,38
1644209223,50
1644209233,35
1644209243,55
1644209254,37
1644209264,49
1644209274,45
1644209293,43
1644209350,47
1644209361,70
1644209371,55
1644209381,62
1644209392,52
1644209402,51
1644209412,53
1644209423,55
1644209447,61
1644209457,57
1644209467,53
1644209478,54
1644209488,42
1644209498,54
1644209528,50
1644209539,43
1644209549,39
1644209559,53
1644209569,70
1644209580,47
1644209590,63
1644209601,82
1644209611,59
1644209621,65
1644209632,72
1644209642,50
1644209653,61
1644209663,89
1644209673,47
1644209684,37
1644209694,57
1644209704,61
1644209715,86
1644209725,69
1644209736,89
1644209746,91
1644209757,54
1644209767,59
1644209777,60
1644209788,54
1644209798,42
1644209808,56
1644209819,58
1644209829,83
1644209840,91
1644209850,62
1644209860,66
1644209871,80
1644209881,83
1644209892,66
1644209902,55
1644209908,60
1644209913,60
1644209919,74
1644210074,69
1644210085,71
1644210095,77
1644210106,90
1644210116,68
1644210167,93
1644210253,61
1644210264,100
1644210274,77
1644210295,53
1644210349,72
1644210402,95
1644210436,76
1644210447,63
1644210493,62
1644210503,59
1644210513,83
1644210524,64
1644210534,63
