date ,latency
1643779512,48

1643779522,45

1643779532,47

1643779543,56

1643779553,60

1643779563,50

1643779574,43

1643779584,75

1643779594,56

1643779633,53

1643779644,52

1643779654,52

1643779664,54

1643779675,65

1643779685,45

1643779695,47

1643779719,50

1643779729,46

1643779740,58

1643779750,57

1643779760,45

1643779771,53

1643779781,46

1643779791,60

1643779801,59

1643779812,47

1643779822,57

1643779832,40

1643779853,56
1643779863,52
1643779896,55
1643779907,53
1643779917,54
1643779927,45
1643779938,45
1643779948,35
1643779958,52
1643779968,44
1643779979,48
1643779989,58
1643779999,57
1643780009,59
1643780020,57
1643780030,56
1643780040,57
1643780051,49
1643780061,62
1643780071,53
1643780082,51
1643780092,49
1643780102,59
1643780112,45
1643780123,40
1643780133,127
1643780144,41
1643780154,56
1643780164,61
1643780174,67
1643780185,47
1643780195,40
1643780205,72
1643780216,53
1643780226,46
1643780236,56
1643780246,47
1643780257,39
1643780267,52
1643780277,54
1643780288,56
1643780298,32
1643780308,46
1643780318,53
1643780329,52
1643780339,35
1643780349,49
1643780359,57
1643780370,47
1643780380,59
1643780390,59
1643780400,58
1643780411,57
1643780421,66
1643780431,59
1643780442,58
1643780452,50
1643780462,54
1643780472,54
1643780486,93
1643780496,58
1643780507,58
1643780518,66
1643780528,54
1643780593,49
1643780603,62
1643780613,54
1643780624,57
1643780634,51
1643780644,42
1643780655,56
1643780665,52
1643780675,41
1643780685,42
1643780696,44
1643780706,49
1643780716,59
1643780726,45
1643780737,50
1643780747,61
1643780757,41
1643780768,60
1643780778,42
1643780788,61
1643780798,61
1643780809,40
1643780819,44
1643780829,44
1643780839,46
1643780849,47
1643780860,41
1643780870,51
1643780880,52
1643780890,48
1643780901,46
1643780911,43
1643780921,43
1643780931,58
1643780942,41
1643780952,55
1643780962,62
1643780972,50
1643780983,54
1643780993,57
1643781003,57
1643781014,57
1643781024,47
1643781034,44
1643781044,60
1643781053,57
1643781064,53
1643781074,49
1643781084,49
1643781095,51
1643781105,58
1643781115,56
1643781125,66
1643781136,54
1643781146,62
1643781156,49
1643781167,59
1643781177,43
1643781187,54
1643781197,40
1643781208,36
1643781218,44
1643781228,52
1643781238,53
1643781249,51
1643781259,48
1643781269,54
1643781279,46
1643781290,60
1643781300,66
1643781310,56
1643781321,53
1643781331,54
1643781341,61
1643781352,62
1643781362,48
1643781372,50
1643781383,67
1643781393,48
1643781403,55
1643781414,49
1643781424,62
1643781434,56
1643781445,50
1643781455,62
1643781465,54
1643781476,48
1643781486,60
1643781496,47
1643781506,52
1643781517,58
1643781527,45
1643781537,51
1643781547,49
1643781558,53
1643781568,58
1643781578,54
1643781589,49
1643781599,63
1643781609,60
1643781620,62
1643781630,47
1643781640,52
1643781650,57
1643781661,63
1643781671,44
1643781681,55
1643781692,46
1643781702,40
1643781712,59
1643781722,31
1643781733,47
1643781743,52
1643781753,53
1643781763,46
1643781774,49
1643781784,52
1643781794,52
1643781804,49
1643781815,40
1643781825,40
1643781835,51
1643781845,43
1643781856,46
1643781866,51
1643781876,54
1643781887,70
1643781897,51
1643781907,50
1643781917,52
1643781928,49
1643781938,43
1643781948,47
1643781958,60
1643781969,51
